model_name,condition,verification_status,count,total,rate
Qwen3-0.6B,A,execution_error,11,1032,0.01065891472868217
Qwen3-0.6B,A,parse_error,80,1032,0.07751937984496124
Qwen3-0.6B,A,schema_error,210,1032,0.20348837209302326
Qwen3-0.6B,A,success,722,1032,0.6996124031007752
Qwen3-0.6B,A,unsafe_cartesian_product,9,1032,0.00872093023255814
Qwen3-0.6B,B,execution_error,12,1032,0.011627906976744186
Qwen3-0.6B,B,parse_error,76,1032,0.07364341085271318
Qwen3-0.6B,B,schema_error,196,1032,0.18992248062015504
Qwen3-0.6B,B,success,746,1032,0.7228682170542635
Qwen3-0.6B,B,unsafe_cartesian_product,2,1032,0.001937984496124031
Qwen3-0.6B,C,execution_error,14,1033,0.013552758954501452
Qwen3-0.6B,C,parse_error,52,1033,0.05033881897386254
Qwen3-0.6B,C,schema_error,215,1033,0.20813165537270087
Qwen3-0.6B,C,success,746,1033,0.7221684414327202
Qwen3-0.6B,C,unsafe_cartesian_product,6,1033,0.005808325266214908
Qwen3-0.6B,D,execution_error,14,1033,0.013552758954501452
Qwen3-0.6B,D,parse_error,47,1033,0.04549854791868345
Qwen3-0.6B,D,schema_error,208,1033,0.20135527589545016
Qwen3-0.6B,D,success,758,1033,0.7337850919651501
Qwen3-0.6B,D,unsafe_cartesian_product,6,1033,0.005808325266214908
