model_name,condition,n_examples,execution_accuracy,executable_query_rate,exact_match_accuracy,median_generation_latency_sec,mean_generation_latency_sec,p95_generation_latency_sec,mean_prompt_input_chars,mean_schema_context_chars,mean_schema_compression_ratio,gold_table_recall,gold_column_recall,pruning_failure_rate,mean_model_load_gpu_reserved_delta_mb,mean_runtime_gpu_peak_delta_mb,mean_runtime_cpu_delta_mb,repair_attempt_rate,mean_repair_latency_sec
Gemma-4-E2B-it,A,876,0.3744292237442922,0.8858447488584474,0.06735159817351598,7.274826024500726,8.306042857928071,17.363297237249753,838.5901826484019,578.384703196347,1.0,1.0,0.8310502283105022,0.0,6146.0,0.13200148491010275,-0.027771832191780824,0.0,0.0
Gemma-4-E2B-it,B,875,0.3577142857142857,0.8788571428571429,0.06857142857142857,7.15014737599995,8.336798332234402,18.386016260599895,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,6146.0,0.0,0.014816964285714286,0.0,0.0
Gemma-4-E2B-it,C,874,0.4096109839816934,0.8993135011441648,0.07208237986270023,7.423484256995835,8.794775618031013,24.91824299314931,1464.4542334096109,1204.3844393592678,2.19562301042261,0.9759725400457666,0.8226544622425629,0.1853546910755149,6146.0,0.3487601902173913,0.021377109553775742,0.0,0.0
Gemma-4-E2B-it,D,874,0.4302059496567506,0.9576659038901602,0.07208237986270023,7.44851302099778,8.798374897668328,24.573987801852383,1464.4542334096109,1204.3844393592678,2.19562301042261,0.9759725400457666,0.8226544622425629,0.1853546910755149,6146.0,0.0008827052345537757,0.017984839816933638,0.10068649885583524,0.9458437903695881
Gemma-4-E4B-it,A,875,0.4685714285714286,0.928,0.11657142857142858,7.609296331000223,8.016373006342835,15.804267364699808,837.0251428571429,576.9154285714286,1.0,1.0,0.8308571428571428,0.0,8620.0,0.10575558035714286,-0.00013392857142857144,0.0,0.0
Gemma-4-E4B-it,B,875,0.45714285714285713,0.9222857142857143,0.11085714285714286,7.630313795001712,7.943466236955405,15.328134059699721,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.0,0.00011160714285714285,0.0,0.0
Gemma-4-E4B-it,C,875,0.45257142857142857,0.9142857142857143,0.11085714285714286,8.275528477999615,8.813665902225098,16.3992583521016,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.181671875,0.00019642857142857144,0.0,0.0
Gemma-4-E4B-it,D,875,0.4742857142857143,0.9497142857142857,0.11085714285714286,8.27687130200502,8.820763307800084,16.607664240097435,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.0038582589285714288,0.0002723214285714286,0.08571428571428572,1.152208607506273
Granite-3.3-2B-Instruct,A,876,0.21689497716894976,0.7796803652968036,0.02511415525114155,5.06116233900002,5.500739262654308,10.756717909251165,840.5079908675799,580.2089041095891,1.0,1.0,0.8310502283105022,0.0,1058.0,0.04578918735730594,0.0005796946347031963,0.0,0.0
Granite-3.3-2B-Instruct,B,876,0.21232876712328766,0.7728310502283106,0.026255707762557076,5.024278677001348,5.445091581486308,10.688959684004658,757.2134703196347,496.91438356164383,0.8903875757409406,0.9748858447488584,0.821917808219178,0.1860730593607306,1058.0,0.0,0.0002586329908675799,0.0,0.0
