model_name,condition,verification_status,count,total,rate
Gemma-4-E2B-it,A,execution_error,6,1033,0.005808325266214908
Gemma-4-E2B-it,A,parse_error,2,1033,0.001936108422071636
Gemma-4-E2B-it,A,schema_error,103,1033,0.09970958373668926
Gemma-4-E2B-it,A,success,921,1033,0.8915779283639884
Gemma-4-E2B-it,A,unsafe_cartesian_product,1,1033,0.000968054211035818
Gemma-4-E2B-it,B,execution_error,6,1032,0.005813953488372093
Gemma-4-E2B-it,B,parse_error,3,1032,0.0029069767441860465
Gemma-4-E2B-it,B,schema_error,104,1032,0.10077519379844961
Gemma-4-E2B-it,B,success,918,1032,0.8895348837209303
Gemma-4-E2B-it,B,unsafe_cartesian_product,1,1032,0.0009689922480620155
Gemma-4-E2B-it,C,execution_error,9,1031,0.008729388942774006
Gemma-4-E2B-it,C,parse_error,1,1031,0.0009699321047526673
Gemma-4-E2B-it,C,schema_error,91,1031,0.08826382153249272
Gemma-4-E2B-it,C,success,929,1031,0.9010669253152279
Gemma-4-E2B-it,C,unsafe_cartesian_product,1,1031,0.0009699321047526673
Gemma-4-E2B-it,D,execution_error,5,1031,0.004849660523763337
Gemma-4-E2B-it,D,schema_error,34,1031,0.03297769156159069
Gemma-4-E2B-it,D,success,991,1031,0.9612027158098934
Gemma-4-E2B-it,D,unsafe_cartesian_product,1,1031,0.0009699321047526673
Gemma-4-E4B-it,A,execution_error,1,1032,0.0009689922480620155
Gemma-4-E4B-it,A,execution_timeout,1,1032,0.0009689922480620155
Gemma-4-E4B-it,A,parse_error,15,1032,0.014534883720930232
Gemma-4-E4B-it,A,schema_error,45,1032,0.0436046511627907
Gemma-4-E4B-it,A,success,968,1032,0.937984496124031
Gemma-4-E4B-it,A,unsafe_cartesian_product,2,1032,0.001937984496124031
Gemma-4-E4B-it,B,execution_error,3,1032,0.0029069767441860465
Gemma-4-E4B-it,B,parse_error,18,1032,0.01744186046511628
Gemma-4-E4B-it,B,schema_error,47,1032,0.045542635658914726
Gemma-4-E4B-it,B,success,963,1032,0.9331395348837209
Gemma-4-E4B-it,B,unsafe_cartesian_product,1,1032,0.0009689922480620155
Gemma-4-E4B-it,C,execution_error,4,1032,0.003875968992248062
Gemma-4-E4B-it,C,parse_error,21,1032,0.020348837209302327
Gemma-4-E4B-it,C,schema_error,49,1032,0.04748062015503876
Gemma-4-E4B-it,C,success,955,1032,0.9253875968992248
Gemma-4-E4B-it,C,unsafe_cartesian_product,3,1032,0.0029069767441860465
Gemma-4-E4B-it,D,execution_error,3,1032,0.0029069767441860465
Gemma-4-E4B-it,D,parse_error,6,1032,0.005813953488372093
Gemma-4-E4B-it,D,schema_error,32,1032,0.031007751937984496
Gemma-4-E4B-it,D,success,988,1032,0.9573643410852714
Gemma-4-E4B-it,D,unsafe_cartesian_product,3,1032,0.0029069767441860465
Granite-3.3-2B-Instruct,A,execution_error,14,1033,0.013552758954501452
