model_name,condition,n_examples,execution_accuracy,executable_query_rate,exact_match_accuracy,median_generation_latency_sec,mean_generation_latency_sec,p95_generation_latency_sec,mean_prompt_input_chars,mean_schema_context_chars,mean_schema_compression_ratio,gold_table_recall,gold_column_recall,pruning_failure_rate,mean_model_load_gpu_reserved_delta_mb,mean_runtime_gpu_peak_delta_mb,mean_runtime_cpu_delta_mb,repair_attempt_rate,mean_repair_latency_sec,accuracy_score,exec_rate_score,latency_score,memory_score,resource_aware_score,resource_aware_rank
Qwen3-4B-Instruct-2507,A,1032,0.45058139534883723,0.9660852713178295,0.07461240310077519,4.053563947501971,4.496329475753125,8.244583939798753,842.9040697674419,583.1036821705426,1.0,1.0,0.7936046511627907,0.0,2228.0,0.05442916515261628,0.0009576368701550387,0.0,0.0,0.8218470020675396,1.0,0.8785671519242753,0.8034188034188035,0.8669788117605053,1
Gemma-4-E4B-it,A,1032,0.5251937984496124,0.937984496124031,0.10755813953488372,6.705101657502382,7.5101405884041,14.304896081750302,842.9040697674419,583.1036821705426,1.0,1.0,0.7936046511627907,0.0,8620.0,0.08966679536094961,-0.0020212572674418606,0.0,0.0,1.0,0.9552245937721181,0.7465712038099945,0.0,0.8403591595164226,2
Gemma-4-E2B-it,A,1033,0.41142303969022265,0.8915779283639884,0.06098741529525654,7.119117524998728,8.610090299335942,31.57562286840075,844.2255566311713,584.3436592449177,1.0,1.0,0.7938044530493708,0.0,6146.0,0.11193930375726041,-0.021440888189738626,0.0,0.0,0.7283480908306861,0.8812809780260231,0.7259611190435484,0.31096028154851685,0.7167184929841091,3
Qwen3-1.7B,A,1029,0.31584062196307094,0.8483965014577259,0.08163265306122448,2.4713029869999446,3.2461193272332567,7.190730123198589,843.1671525753159,583.3372206025267,1.0,1.0,0.793002915451895,0.0,2754.0,0.0,-7.971938775510203e-05,0.0,0.0,0.5001247183074132,0.8124762593699276,0.9573335352413903,0.7373051784816491,0.6777548359241351,4
Phi-4-mini-instruct,A,1032,0.28488372093023256,0.9215116279069767,0.016472868217054265,3.3069060040033946,3.772338254736447,6.578065418899494,845.3788759689922,585.4195736434109,1.0,1.0,0.7936046511627907,0.0,2558.0,0.045576701792635656,0.0008365128391472868,0.0,0.0,0.42620852613960813,0.9289769418454287,0.9157364604343694,0.7619406737053795,0.6582410108963017,5
Llama-3.2-3B-Instruct,A,1032,0.3003875968992248,0.7771317829457365,0.09011627906976744,3.0750719035022485,3.018901393551488,5.29050857140282,842.9040697674419,583.1036821705426,1.0,1.0,0.7936046511627907,0.0,1814.0,0.0491706789001938,-6.056201550387597e-05,0.0,0.0,0.4632273309047946,0.6989239926056222,0.9272773718781163,0.855455002513826,0.6423994386005276,6
Granite-3.3-2B-Instruct,A,1033,0.27299128751210067,0.7899322362052275,0.02516940948693127,4.860963865998201,5.252011191039897,10.188682963402243,845.8518877057115,585.8906098741529,1.0,1.0,0.7938044530493708,0.0,1058.0,0.03882994010164569,0.0005142787996127783,0.0,0.0,0.3978128093672802,0.7193200667580965,0.838374052898244,0.9504776269482151,0.6054929913097298,7
Qwen3-0.6B,A,1032,0.13870029097963144,0.6996124031007752,0.060077519379844964,1.6142180394990646,3.6101331333129565,20.28231347400051,844.5300387596899,584.6521317829457,1.0,1.0,0.7936046511627907,0.0,1044.0,0.0,7.948764534883721e-05,0.0,0.0,0.07716446360520049,0.5754056305976724,1.0,0.9522373051784816,0.4488870884399829,8
Llama-3.2-1B-Instruct,A,1033,0.16360116166505323,0.5837366892545982,0.05324298160696999,1.788902298998437,1.9087193214500437,4.034759602601116,844.2255566311713,584.3436592449177,1.0,1.0,0.7938044530493708,0.0,664.0,0.02220190736931268,6.806631171345596e-05,0.0,0.0,0.13662059394514825,0.39077078961458844,0.9913040593892752,1.0,0.4447252667733469,9
SmolLM3-3B,A,1034,0.10638297872340426,0.33849129593810445,0.0551257253384913,21.702241557499292,17.140869000550225,23.233872822899137,845.5328820116055,585.5812379110251,1.0,1.0,0.7940038684719536,0.0,1590.0,0.055818480264748546,0.0008311170212765958,0.0,0.0,0.0,0.0,0.0,0.8836098541980895,0.08836098541980895,10
Qwen3-4B-Instruct-2507,B,1032,0.45058139534883723,0.9622093023255814,0.07848837209302326,4.00105212050039,4.353633422329328,7.9633746290965055,752.3507751937984,492.5503875968992,0.8874204803430457,0.9786821705426356,0.7858527131782945,0.22093023255813954,2228.0,0.0,3.785125968992248e-06,0.0,0.0,0.8387238567883729,1.0,0.8804400747400878,0.8034188034188035,0.8757918236840844,1
Gemma-4-E4B-it,B,1032,0.5145348837209303,0.9331395348837209,0.10368217054263566,6.72076012800062,7.450175494203476,14.531565228248825,752.3507751937984,492.5503875968992,0.8874204803430457,0.9786821705426356,0.7858527131782945,0.22093023255813954,8620.0,0.0,9.462814922480621e-05,0.0,0.0,1.0,0.9516691439736003,0.7449434176801606,0.0,0.8393225123307522,2
Gemma-4-E2B-it,B,1032,0.40406976744186046,0.8895348837209303,0.06395348837209303,6.9073092879993965,8.413308457280143,29.82042121234642,752.3507751937984,492.5503875968992,0.8874204803430457,0.9786821705426356,0.7858527131782945,0.22093023255813954,6146.0,0.0,0.01540546269379845,0.0,0.0,0.7214321162708258,0.8791728599340007,0.7356494833727036,0.31096028154851685,0.7147765549516055,3
Qwen3-1.7B,B,1029,0.3138969873663751,0.8464528668610302,0.09037900874635568,2.4058817270015425,3.1640336481262787,7.035407756800109,752.6656948493683,492.8357628765792,0.8877616139163098,0.9786200194363459,0.7852283770651117,0.22157434402332363,2754.0,0.0,3.7961613216715256e-06,0.0,0.0,0.49403688634009324,0.807545497990114,0.9599119353824822,0.7373051784816491,0.6742404476927308,4
Llama-3.2-3B-Instruct,B,1032,0.3071705426356589,0.7955426356589147,0.0939922480620155,2.817090776996338,2.858923677998064,5.106474058597813,752.3507751937984,492.5503875968992,0.8874204803430457,0.9786821705426356,0.7858527131782945,0.22093023255813954,1814.0,0.0,4.5421511627906976e-05,0.0,0.0,0.4770743235259364,0.7229030921153085,0.9394253789310435,0.855455002513826,0.6565483562236213,5
Phi-4-mini-instruct,B,1032,0.2858527131782946,0.9089147286821705,0.016472868217054265,3.264818212002865,3.6090937048788416,6.278547121799783,753.7713178294574,493.9001937984496,0.8873139119895839,0.9786821705426356,0.7858527131782945,0.22093023255813954,2558.0,0.0,0.00023089268410852714,0.0,0.0,0.4233156091220607,0.911393430618267,0.9171194657410611,0.7619406737053795,0.6535544512034339,6
Granite-3.3-2B-Instruct,B,1033,0.2671829622458858,0.7792836398838335,0.028073572120038724,4.788055641000028,5.201877925208127,10.187502396598573,754.9893514036786,495.02807357212004,0.887316533042089,0.978702807357212,0.7860600193610843,0.2207163601161665,1058.0,0.0,0.0002949540174249758,0.0,0.0,0.37623474611139723,0.6958711873877969,0.8412313266583009,0.9504776269482151,0.5905856385597397,7
Qwen3-0.6B,B,1032,0.13953488372093023,0.7228682170542635,0.0562015503875969,1.6012284410003303,3.50414734547964,20.251115995399413,753.7781007751938,493.9001937984496,0.8873139119895839,0.9786821705426356,0.7858527131782945,0.22093023255813954,1044.0,0.0,-0.04380147771317829,0.0,0.0,0.05433534207727756,0.6020759520493092,1.0,0.9522373051784816,0.4428065919663488,8
Llama-3.2-1B-Instruct,B,1033,0.1606969990319458,0.5837366892545982,0.05808325266214908,1.6962002580039552,1.8346960557978451,4.07522498939943,753.5614714424008,493.67957405614715,0.8874229982316074,0.978702807357212,0.7860600193610843,0.2207163601161665,664.0,0.0,1.1344385285575993e-05,0.0,0.0,0.1077013808413115,0.3707584551939477,0.9952684759969045,1.0,0.42705607665882617,9
